,word,meaning,der
301,b'duty',"b'n. \xec\xa7\x81\xeb\xac\xb4, \xec\x9d\x98\xeb\xac\xb4'",b'duty duties dutying dutied'
302,b'facilitate',b'v. \xea\xb0\x80\xeb\x8a\xa5[\xec\x9a\xa9\xec\x9d\xb4]\xed\x95\x98\xea\xb2\x8c \xed\x95\x98\xeb\x8b\xa4',b'facilitate facilitates facilitating facilitated'
303,b'generate',b'v. \xeb\xb0\x9c\xec\x83\x9d\xec\x8b\x9c\xed\x82\xa4\xeb\x8b\xa4',b'generate generates generating generated'
304,b'momentum',"b'n. \xed\x83\x84\xeb\xa0\xa5, \xea\xb0\x80\xec\x86\x8d\xeb\x8f\x84'",b'momentum momentums momentumming momentummed'
305,b'motivate',b'v. \xeb\x8f\x99\xea\xb8\xb0\xeb\xa5\xbc \xeb\xb6\x80\xec\x97\xac\xed\x95\x98\xeb\x8b\xa4',b'motivate motivates motivating motivated'
306,b'operate',"b'v. \xec\xa1\xb0\xec\x9e\x91\xed\x95\x98\xeb\x8b\xa4, \xea\xb0\x80\xeb\x8f\x99\xed\x95\x98\xeb\x8b\xa4'",b'operate operates operating operated'
307,b'paperwork',b'n. \xeb\xac\xb8\xec\x84\x9c \xec\x97\x85\xeb\xac\xb4',b'paperwork paperworks paperworking paperworked'
308,b'productivity',b'n. \xec\x83\x9d\xec\x82\xb0\xec\x84\xb1',b'productivity productivities productivitying productivitied'
309,b'refreshing',"b'adj. \xec\x8b\xa0\xec\x84\xa0\xed\x95\x9c, \xec\x9b\x90\xea\xb8\xb0\xeb\xa5\xbc \xeb\xb6\x81\xeb\x8f\x8b\xec\x9a\xb0\xeb\x8a\x94'",b'refresh refreshes refreshing refreshed'
310,b'supervisor',b'n. \xea\xb4\x80\xeb\xa6\xac\xec\x9e\x90',b'supervisor supervisors supervisorring supervisorred'
311,b'supervise',b'v. \xea\xb4\x80\xeb\xa6\xac\xed\x95\x98\xeb\x8b\xa4',b'supervise supervises supervising supervised'
312,b'workforce',b'n. \xec\x9d\xb8\xeb\xa0\xa5',b'workforce workforces workforcing workforced'
313,b'workplace',"b'n. \xec\xa7\x81\xec\x9e\xa5, \xec\x9d\xbc\xed\x84\xb0'",b'workplace workplaces workplacing workplaced'
314,b'acknowledge',b'v. \xec\x9d\xb8\xec\xa0\x95\xed\x95\x98\xeb\x8b\xa4',b'acknowledge acknowledges acknowledging acknowledged'
315,b'anniversary',b'n. \xea\xb8\xb0\xeb\x85\x90\xec\x9d\xbc',b'anniversary anniversaries anniversarying anniversaried'
316,b'award',"b'n. \xec\x83\x81, \xec\x83\x81\xed\x8c\xa8 v. \xec\x88\x98\xec\x97\xac\xed\x95\x98\xeb\x8b\xa4, \xec\xa3\xbc\xeb\x8b\xa4'",b'award awards awarding awarded'
317,b'banquet',b'n. \xec\x97\xb0\xed\x9a\x8c',b'banquet banquets banqueting banqueted'
318,b'celebration',b'n. \xea\xb8\xb0\xeb\x85\x90 \xed\x96\x89\xec\x82\xac',b'celebration celebrations celebrationing celebrationed'
319,b'citation',b'n. \xed\x91\x9c\xec\xb0\xbd\xec\x9e\xa5; \xec\x9d\xb8\xec\x9a\xa9\xeb\xac\xb8',b'citation citations citationing citationed'
320,b'commemorate',b'v. \xea\xb8\xb0\xeb\x85\x90\xed\x95\x98\xeb\x8b\xa4',b'commemorate commemorates commemorating commemorated'
321,b'congratulate',b'v. \xec\xb6\x95\xed\x95\x98\xed\x95\x98\xeb\x8b\xa4',b'congratulate congratulates congratulating congratulated'
322,b'convene',"b'v. \xed\x9a\x8c\xed\x95\xa9\xed\x95\x98\xeb\x8b\xa4, \xec\x86\x8c\xec\xa7\x91\xed\x95\x98\xeb\x8b\xa4'",b'convene convenes convening convened'
323,b'dedication',"b'n. \xed\x97\x8c\xec\x8b\xa0, \xec\xa0\x84\xeb\x85\x90'",b'dedication dedications dedicationing dedicationed'
324,b'encourage',"b'v. \xea\xb2\xa9\xeb\xa0\xa4\xed\x95\x98\xeb\x8b\xa4, \xec\x9e\xa5\xeb\xa0\xa4\xed\x95\x98\xeb\x8b\xa4'",b'encourage encourages encouraging encouraged'
325,b'entertainment',b'n. \xec\x98\xa4\xeb\x9d\xbd; \xec\xa0\x91\xeb\x8c\x80',b'entertainment entertainments entertainmenting entertainmented'
326,b'enthusiastic',b'adj. \xec\x97\xb4\xec\xa0\x95\xec\xa0\x81\xec\x9d\xb8',b'enthusiastic enthusiastices enthusiasticking enthusiasticked'
327,b'excellence',"b'n. \xeb\x9b\xb0\xec\x96\xb4\xeb\x82\xa8, \xed\x83\x81\xec\x9b\x94\xed\x95\xa8'",b'excellence excellences excellencing excellenced'
328,b'exemplary',"b'adj. \xeb\xaa\xa8\xeb\xb2\x94\xec\xa0\x81\xec\x9d\xb8, \xeb\xb3\xb8\xeb\xb3\xb4\xea\xb8\xb0\xea\xb0\x80 \xeb\x90\x98\xeb\x8a\x94'",b'exemplary exemplaries exemplarying exemplaried'
329,b'grateful',"b'adj. \xea\xb3\xa0\xeb\xa7\x88\xec\x9b\x8c\xed\x95\x98\xeb\x8a\x94, \xea\xb0\x90\xec\x82\xac\xed\x95\x98\xeb\x8a\x94'",b'grateful gratefuls gratefulling gratefulled'
330,b'gratitude',"b'n. \xea\xb0\x90\xec\x82\xac, \xea\xb3\xa0\xeb\xa7\x88\xec\x9b\x80'",b'gratitude gratitudes gratituding gratituded'
331,b'host',b'v. \xea\xb0\x9c\xec\xb5\x9c\xed\x95\x98\xeb\x8b\xa4',b'host hosts hosting hosted'
332,b'impressive',b'adj. \xec\x9d\xb8\xec\x83\x81\xec\xa0\x81\xec\x9d\xb8',b'impressive impressives impressiving impressived'
333,b'inspire',"b'v. \xea\xb3\xa0\xeb\xac\xb4\xec\x8b\x9c\xed\x82\xa4\xeb\x8b\xa4, \xec\x98\x81\xea\xb0\x90\xec\x9d\x84 \xec\xa3\xbc\xeb\x8b\xa4'",b'inspire inspires inspiring inspired'
334,b'inspiring',"b'adj. \xea\xb3\xa0\xeb\xac\xb4\xed\x95\x98\xeb\x8a\x94, \xec\x98\x81\xea\xb0\x90\xec\x9d\x84 \xec\xa3\xbc\xeb\x8a\x94'",b'inspire inspires inspiring inspired'
335,b'invitation',b'n. \xec\xb4\x88\xeb\x8c\x80(\xec\x9e\xa5)',b'invitation invitations invitationing invitationed'
336,b'leading',"b'adj. \xec\x84\xa0\xeb\x91\x90\xec\x9d\x98, \xec\x9d\xb4\xeb\x81\x84\xeb\x8a\x94'",b'lead leads leading led'
337,b'mark',b'v. \xea\xb8\xb0\xeb\x85\x90\xed\x95\x98\xeb\x8b\xa4; \xed\x9d\x94\xec\xa0\x81\xec\x9d\x84 \xeb\x82\xa8\xea\xb8\xb0\xeb\x8b\xa4',b'mark marks marking marked'
338,b'morale',"b'n. \xec\x9d\x98\xec\x9a\x95, \xec\x82\xac\xea\xb8\xb0'",b'morale morales moraling moraled'
339,b'regard',"b'v. \xec\x97\xac\xea\xb8\xb0\xeb\x8b\xa4, \xea\xb0\x84\xec\xa3\xbc\xed\x95\x98\xeb\x8b\xa4'",b'regard regards regarding regarded'
340,b'renowned',b'adj. \xec\x9c\xa0\xeb\xaa\x85\xed\x95\x9c',b'renown renowns renowning renowned'
341,b'respectively',"b'adv. \xea\xb0\x81\xec\x9e\x90, \xea\xb0\x81\xea\xb0\x81, \xec\xa0\x9c\xea\xb0\x81\xea\xb8\xb0'",b'respectively respectivelies respectivelying respectivelied'
342,b'acquisition',b'n. \xec\x9d\xb8\xec\x88\x98',b'acquisition acquisitions acquisitioning acquisitioned'
343,b'acquire',"b'v. \xec\x9d\xb8\xec\x88\x98\xed\x95\x98\xeb\x8b\xa4, \xec\x96\xbb\xeb\x8b\xa4'",b'acquire acquires acquiring acquired'
344,b'affect',b'v. \xec\x98\x81\xed\x96\xa5\xec\x9d\x84 \xeb\xaf\xb8\xec\xb9\x98\xeb\x8b\xa4',b'affect affects affecting affected'
345,b'announce',"b'v. \xeb\xb0\x9c\xed\x91\x9c\xed\x95\x98\xeb\x8b\xa4, \xec\x95\x8c\xeb\xa6\xac\xeb\x8b\xa4'",b'announce announces announcing announced'
346,b'announcement',b'n. \xea\xb3\xb5\xec\xa7\x80',b'announcement announcements announcementing announcemented'
347,b'combine',b'v. \xea\xb2\xb0\xed\x95\xa9\xed\x95\x98\xeb\x8b\xa4',b'combine combines combining combined'
348,b'agreement',b'n. \xed\x95\xa9\xec\x9d\x98',b'agreement agreements agreementing agreemented'
349,b'competition',b'n. \xea\xb2\xbd\xec\x9f\x81',b'competition competitions competitioning competitioned'
350,b'competitiveness',b'n. \xea\xb2\xbd\xec\x9f\x81\xeb\xa0\xa5',b'competitivenes competitiveness competitivenessing competitivenessed'
351,b'compete',b'v. \xea\xb2\xbd\xec\x9f\x81\xed\x95\x98\xeb\x8b\xa4',b'compete competes competing competed'
352,b'concern',"b'n. \xec\x9a\xb0\xeb\xa0\xa4, \xea\xb1\xb1\xec\xa0\x95'",b'concern concerns concerning concerned'
353,b'confront',"b'v. \xeb\xa7\x9e\xec\x84\x9c\xeb\x8b\xa4, \xec\xa7\x81\xeb\xa9\xb4\xed\x95\x98\xeb\x8b\xa4'",b'confront confronts confronting confronted'
354,b'dominate',b'v. \xec\xa7\x80\xeb\xb0\xb0\xed\x95\x98\xeb\x8b\xa4',b'dominate dominates dominating dominated'
355,b'efficient',b'adj. \xed\x9a\xa8\xec\x9c\xa8\xec\xa0\x81\xec\x9d\xb8',b'efficient efficients efficienting efficiented'
356,b'eliminate',"b'v. \xec\x97\x86\xec\x95\xa0\xeb\x8b\xa4, \xec\xa0\x9c\xea\xb1\xb0\xed\x95\x98\xeb\x8b\xa4'",b'eliminate eliminates eliminating eliminated'
357,b'emerge',"b'v. \xeb\xb6\x80\xec\x83\x81\xed\x95\x98\xeb\x8b\xa4, \xeb\xb6\x80\xea\xb0\x81\xeb\x90\x98\xeb\x8b\xa4'",b'emerge emerges emerging emerged'
358,b'established',b'adj. \xed\x99\x95\xeb\xa6\xbd\xeb\x90\x9c; \xed\x99\x95\xea\xb3\xa0\xed\x9e\x88 \xec\x9e\x90\xeb\xa6\xac\xeb\xa5\xbc \xec\x9e\xa1\xec\x9d\x80',b'establish establishes establishing established'
359,b'expenditure',b'n. \xec\xa7\x80\xec\xb6\x9c; \xeb\xb9\x84\xec\x9a\xa9; \xec\x86\x8c\xeb\xb9\x84',b'expenditure expenditures expendituring expenditured'
360,b'formation',"b'n. \xed\x98\x95\xec\x84\xb1; \xeb\x8c\x80\xed\x98\x95, \xed\x8e\xb8\xeb\x8c\x80'",b'formation formations formationing formationed'
361,b'found',b'v. \xec\x84\xa4\xeb\xa6\xbd\xed\x95\x98\xeb\x8b\xa4',b'find finds finding found'
362,b'bankrupt',b'n. \xed\x8c\x8c\xec\x82\xb0',b'bankrupt bankrupts bankrupting bankrupted'
363,b'independent',"b'adj. \xeb\x8f\x85\xeb\xa6\xbd\xeb\x90\x9c, \xeb\x8f\x85\xec\x9e\x90\xec\xa0\x81\xec\x9d\xb8'",b'independent independents independenting independented'
364,b'integrate',b'v. \xed\x86\xb5\xed\x95\xa9\xec\x8b\x9c\xed\x82\xa4\xeb\x8b\xa4',b'integrate integrates integrating integrated'
365,b'merger',b'n. \xed\x95\xa9\xeb\xb3\x91',b'merger mergers mergerring mergerred'
366,b'officially',b'adv. \xea\xb3\xb5\xec\x8b\x9d\xec\xa0\x81\xec\x9c\xbc\xeb\xa1\x9c',b'officially officiallies officiallying officiallied'
367,b'negotiation',b'n. \xed\x98\x91\xec\x83\x81',b'negotiation negotiations negotiationing negotiationed'
368,b'operation',b'n. \xec\x82\xac\xec\x97\x85',b'operation operations operationing operationed'
369,b'outstanding',"b'adj. \xeb\x9b\xb0\xec\x96\xb4\xeb\x82\x9c, \xea\xb1\xb8\xec\xb6\x9c\xed\x95\x9c'",b'outstand outstands outstanding outstood'
370,b'redundancy',b'n. \xec\x97\xac\xeb\xb6\x84; \xec\x9e\x89\xec\x97\xac \xec\x9d\xb8\xec\x9b\x90',b'redundancy redundancies redundancying redundancied'
371,b'resource',b'n. \xec\x9e\x90\xec\x9b\x90',b'resource resources resourcing resourced'
372,b'restructure',b'n. \xea\xb5\xac\xec\xa1\xb0 \xec\xa1\xb0\xec\xa0\x95\xed\x95\x98\xeb\x8b\xa4',b'restructure restructures restructuring restructured'
373,b'statement',"b'n. \xec\x84\xb1\xeb\xaa\x85(\xec\x84\x9c), \xec\xa7\x84\xec\x88\xa0(\xec\x84\x9c)'",b'statement statements statementing statemented'
374,b'takeover',b'n. \xea\xb8\xb0\xec\x97\x85[\xea\xb2\xbd\xec\x98\x81\xea\xb6\x8c] \xec\x9d\xb8\xec\x88\x98',b'takeover takeovers takeoverring takeoverred'
375,b'upcoming',"b'adj. \xeb\x8b\xa4\xea\xb0\x80\xec\x98\xa4\xeb\x8a\x94, \xea\xb3\xa7 \xec\x9e\x88\xec\x9d\x84'",b'upcome upcomes upcoming upcomed'
376,b'alteration',"b'n. \xea\xb0\x9c\xec\xa1\xb0, \xeb\xb3\x80\xed\x99\x94'",b'alteration alterations alterationing alterationed'
377,b'celebrate',b'v. \xea\xb8\xb0\xeb\x85\x90[\xec\xb6\x95\xed\x95\x98]\xed\x95\x98\xeb\x8b\xa4',b'celebrate celebrates celebrating celebrated'
378,b'complicated',b'adj. \xeb\xb3\xb5\xec\x9e\xa1\xed\x95\x9c',b'complicate complicates complicating complicated'
379,b'consent',"b'n. \xeb\x8f\x99\xec\x9d\x98, \xed\x95\xa9\xec\x9d\x98 v. \xeb\x8f\x99\xec\x9d\x98\xed\x95\x98\xeb\x8b\xa4'",b'consent consents consenting consented'
380,b'current',b'adj. \xed\x98\x84\xec\x9e\xac\xec\x9d\x98',b'current currents currenting currented'
381,b'currently',"b'adv. \xed\x98\x84\xec\x9e\xac, \xec\xa7\x80\xea\xb8\x88'",b'currently currentlies currentlying currentlied'
382,b'determine',b'v. \xea\xb2\xb0\xec\xa0\x95\xed\x95\x98\xeb\x8b\xa4',b'determine determines determining determined'
383,b'diversified',"b'adj. \xeb\x8b\xa4\xea\xb0\x81\xed\x99\x94\xeb\x90\x9c, \xeb\x8b\xa4\xec\x96\x91\xed\x95\x9c'",b'diversify diversifies diversifying diversified'
384,b'enhance',b'v. \xed\x96\xa5\xec\x83\x81\xec\x8b\x9c\xed\x82\xa4\xeb\x8b\xa4',b'enhance enhances enhancing enhanced'
385,b'enlarge',b'v. \xed\x99\x95\xec\x9e\xa5\xed\x95\x98\xeb\x8b\xa4',b'enlarge enlarges enlarging enlarged'
386,b'expand',b'v. \xed\x99\x95\xec\x9e\xa5\xed\x95\x98\xeb\x8b\xa4',b'expand expands expanding expanded'
387,b'expansion',b'n. \xed\x99\x95\xec\x9e\xa5',b'expansion expansions expansioning expansioned'
388,b'finalize',"b'v. \xeb\xa7\x88\xeb\xac\xb4\xeb\xa6\xac\xec\xa7\x93\xeb\x8b\xa4, \xec\x99\x84\xea\xb2\xb0\xed\x95\x98\xeb\x8b\xa4'",b'finalize finalizes finalizing finalized'
389,b'headquarters',b'n. \xeb\xb3\xb8\xec\x82\xac',b'headquarter headquarters headquarterring headquarterred'
390,b'imperative',"b'adj. \xeb\xb0\x98\xeb\x93\x9c\xec\x8b\x9c \xed\x95\xb4\xec\x95\xbc \xed\x95\x98\xeb\x8a\x94, \xea\xb8\xb4\xec\x9a\x94\xed\x95\x9c'",b'imperative imperatives imperativing imperatived'
391,b'initial',"b'adj. \xec\xb2\x98\xec\x9d\x8c\xec\x9d\x98, \xec\xb4\x88\xea\xb8\xb0\xec\x9d\x98'",b'initial initials initialling initialled'
392,b'launch',b'v. \xec\xb0\xa9\xec\x88\x98\xed\x95\x98\xeb\x8b\xa4',b'launch launches launching launched'
393,b'location',"b'n. \xec\x9c\x84\xec\xb9\x98, \xec\x9e\xa5\xec\x86\x8c, \xea\xb3\xb3'",b'location locations locationing locationed'
394,b'move',b'v. \xec\x98\xae\xea\xb8\xb0\xeb\x8b\xa4; \xec\xa7\x84\xed\x96\x89\xeb\x90\x98\xeb\x8b\xa4',b'move moves moving moved'
395,b'original',b'adj. \xec\x9b\x90\xeb\x9e\x98\xec\x9d\x98',b'original originals originalling originalled'
396,b'outgrow',b'v. ~\xeb\xb3\xb4\xeb\x8b\xa4 \xeb\x8d\x94 \xec\xbb\xa4\xec\xa7\x80\xeb\x8b\xa4',b'outgrow outgrows outgrowing outgrew outgrown'
397,b'prosperous',"b'adj. \xeb\xb2\x88\xec\x98\x81\xed\x95\x98\xeb\x8a\x94, \xeb\xb2\x88\xec\xb0\xbd\xed\x95\x98\xeb\x8a\x94'",b'prosperou prosperous prosperouing prosperoued'
398,b'relocate',"b'v. \xec\x9d\xb4\xec\xa0\x84\xed\x95\x98\xeb\x8b\xa4, \xec\x9d\xb4\xeb\x8f\x99\xed\x95\x98\xeb\x8b\xa4'",b'relocate relocates relocating relocated'
399,b'reputation',"b'n. \xeb\xaa\x85\xec\x84\xb1, \xed\x8f\x89\xed\x8c\x90'",b'reputation reputations reputationing reputationed'
400,b'retain',"b'v. \xeb\xb3\xb4\xec\x9c\xa0\xed\x95\x98\xeb\x8b\xa4, \xec\x9c\xa0\xec\xa7\x80\xed\x95\x98\xeb\x8b\xa4'",b'retain retains retaining retained'
401,b'selection',"b'n. \xec\x84\xa0\xeb\xb3\x84(\xeb\x90\x9c \xea\xb2\x83\xeb\x93\xa4), \xec\x84\xa0\xed\x83\x9d'",b'selection selections selectioning selectioned'
402,b'showcase',b'v. \xec\x86\x8c\xea\xb0\x9c[\xec\xa7\x84\xec\x97\xb4]\xed\x95\x98\xeb\x8b\xa4 n. \xea\xb3\xb5\xea\xb0\x9c \xed\x96\x89\xec\x82\xac',b'showcase showcases showcasing showcased'
403,b'stock',b'v. (\xec\x83\x81\xed\x92\x88\xec\x9d\x84) \xea\xb0\x96\xec\xb6\xb0 \xeb\x91\x90\xeb\x8b\xa4 n. \xec\x9e\xac\xea\xb3\xa0\xed\x92\x88',b'stock stocks stocking stocked'
404,b'timely',b'adj. \xec\x8b\x9c\xea\xb8\xb0 \xec\xa0\x81\xec\xa0\x88\xed\x95\x9c',b'timely timelies timelying timelied'
405,b'trade',"b'n. \xea\xb1\xb0\xeb\x9e\x98, \xeb\xac\xb4\xec\x97\xad v. \xea\xb1\xb0\xeb\x9e\x98\xed\x95\x98\xeb\x8b\xa4, \xeb\xa7\xa4\xeb\xa7\xa4\xed\x95\x98\xeb\x8b\xa4'",b'trade trades trading traded'
406,b'transition',"b'n. \xeb\xb3\x80\xed\x99\x94, \xec\xb6\x94\xec\x9d\xb4'",b'transition transitions transitioning transitioned'
407,b'automate',b'v. \xec\x9e\x90\xeb\x8f\x99\xed\x99\x94\xed\x95\x98\xeb\x8b\xa4',b'automate automates automating automated'
408,b'automation',b'n. \xec\x9e\x90\xeb\x8f\x99\xed\x99\x94',b'automation automations automationing automationed'
409,b'collective',b'adj. \xec\xa7\x91\xeb\x8b\xa8\xec\x9d\x98; \xea\xb3\xb5\xed\x86\xb5\xec\x9d\x98',b'collective collectives collectiving collectived'
410,b'component',"b'n. \xeb\xb6\x80\xed\x92\x88, \xec\x9a\x94\xec\x86\x8c'",b'component components componenting componented'
411,b'domestic',b'adj. \xea\xb5\xad\xeb\x82\xb4\xec\x9d\x98',b'domestic domestices domesticking domesticked'
412,b'double',b'v. \xeb\x91\x90 \xeb\xb0\xb0\xea\xb0\x80 \xeb\x90\x98\xeb\x8b\xa4',b'double doubles doubling doubled'
413,b'equipment',"b'n. \xec\x9e\xa5\xeb\xb9\x84, \xec\x9a\xa9\xed\x92\x88'",b'equipment equipments equipmenting equipmented'
414,b'existing',b'adj. \xea\xb8\xb0\xec\xa1\xb4\xec\x9d\x98',b'exist exists existing existed'
415,b'facility',b'n. \xec\x8b\x9c\xec\x84\xa4',b'facility facilities facilitying facilitied'
416,b'inspect',"b'v. \xec\xa0\x90\xea\xb2\x80\xed\x95\x98\xeb\x8b\xa4, \xec\xa1\xb0\xec\x82\xac\xed\x95\x98\xeb\x8b\xa4'",b'inspect inspects inspecting inspected'
417,b'inventory',b'n. \xec\x9e\xac\xea\xb3\xa0[\xeb\xac\xbc\xed\x92\x88] \xeb\xaa\xa9\xeb\xa1\x9d',b'inventory inventories inventorying inventoried'
418,b'machinery',b'n. \xea\xb8\xb0\xea\xb3\x84',b'machinery machineries machinerying machineried'
419,b'manufacturer',b'n. \xec\xa0\x9c\xec\xa1\xb0 \xec\x97\x85\xec\xb2\xb4',b'manufacturer manufacturers manufacturerring manufacturerred'
420,b'maximize',b'v. \xea\xb7\xb9\xeb\x8c\x80\xed\x99\x94\xed\x95\x98\xeb\x8b\xa4',b'maximize maximizes maximizing maximized'
421,b'output',b'n. \xec\x83\x9d\xec\x82\xb0\xeb\x9f\x89',b'output outputs outputting outputted'
422,b'plant',b'n. \xea\xb3\xb5\xec\x9e\xa5 (= factory)',b'plant plants planting planted'
423,b'potential',b'adj. \xec\x9e\xa0\xec\x9e\xac\xec\xa0\x81\xec\x9d\xb8 n. \xec\x9e\xa0\xec\x9e\xac \xea\xb0\x80\xeb\x8a\xa5\xec\x84\xb1',b'potential potentials potentialing potentialed'
424,b'proceed',b'v. \xec\xa7\x84\xed\x96\x89\xed\x95\x98\xeb\x8b\xa4',b'proceed proceeds proceeding proceeded'
425,b'produce',b'v. \xec\x83\x9d\xec\x82\xb0\xed\x95\x98\xeb\x8b\xa4 (= manufacture)',b'produce produces producing produced'
426,b'quantity',b'n. \xec\x96\x91',b'quantity quantities quantitying quantitied'
427,b'reduction',"b'n. \xec\xb6\x95\xec\x86\x8c, \xec\x82\xad\xea\xb0\x90; \xed\x95\xa0\xec\x9d\xb8'",b'reduction reductions reductioning reductioned'
428,b'region',b'n. \xec\xa7\x80\xec\x97\xad',b'region regions regioning regioned'
429,b'storage',"b'n. \xec\xa0\x80\xec\x9e\xa5(\xec\x86\x8c), \xeb\xb3\xb4\xea\xb4\x80(\xec\x86\x8c)'",b'storage storages storaging storaged'
430,b'streamline',b'v. \xea\xb0\x84\xec\x86\x8c\xed\x99\x94\xed\x95\x98\xeb\x8b\xa4',b'streamline streamlines streamlining streamlined'
431,b'sustainable',b'adj. \xec\xa7\x80\xec\x86\x8d \xea\xb0\x80\xeb\x8a\xa5\xed\x95\x9c',b'sustainable sustainables sustainabling sustainabled'
432,b'warehouse',b'n. \xec\xb0\xbd\xea\xb3\xa0',b'warehouse warehouses warehousing warehoused'
433,b'yield',"b'v. \xec\x82\xb0\xec\xb6\x9c\xed\x95\x98\xeb\x8b\xa4, \xec\x83\x9d\xec\x82\xb0\xed\x95\x98\xeb\x8b\xa4'",b'yield yields yielding yielded'
434,b'analyze',b'v. \xeb\xb6\x84\xec\x84\x9d\xed\x95\x98\xeb\x8b\xa4',b'analyze analyzes analyzing analyzed'
435,b'annual',"b'adj. \xeb\xa7\xa4\xeb\x85\x84\xec\x9d\x98, \xec\x97\xb0\xeb\xa1\x80\xec\x9d\x98'",b'annual annuals annualing annualed'
436,b'debt',b'n. \xec\xb1\x84\xeb\xac\xb4',b'debt debts debting debted'
437,b'deduction',b'n. \xea\xb3\xb5\xec\xa0\x9c',b'deduction deductions deductioning deductioned'
438,b'deficit',"b'n. \xec\xa0\x81\xec\x9e\x90, \xea\xb2\xb0\xec\x86\x90, \xeb\xb6\x80\xec\xa1\xb1\xec\x95\xa1'",b'deficit deficits deficitting deficitted'
439,b'demonstrate',b'v. \xec\x9e\x85\xec\xa6\x9d\xed\x95\x98\xeb\x8b\xa4; \xec\x8b\x9c\xec\x97\xb0\xed\x95\x98\xeb\x8b\xa4',b'demonstrate demonstrates demonstrating demonstrated'
440,b'fiscal',"b'adj. \xec\x9e\xac\xec\xa0\x95\xec\x83\x81\xec\x9d\x98, \xed\x9a\x8c\xea\xb3\x84\xec\x9d\x98'",b'fiscal fiscals fiscalling fiscalled'
441,b'indicator',b'n. \xec\xa7\x80\xed\x91\x9c',b'indicator indicators indicatorring indicatorred'
442,b'invest',b'v. \xed\x88\xac\xec\x9e\x90\xed\x95\x98\xeb\x8b\xa4',b'invest invests investing invested'
443,b'investor',b'n. \xed\x88\xac\xec\x9e\x90\xec\x9e\x90',b'investor investors investorring investorred'
444,b'loan',"b'n. \xec\x9c\xb5\xec\x9e\x90, \xeb\x8c\x80\xec\xb6\x9c v. \xeb\x8c\x80\xec\xb6\x9c\xed\x95\x98\xeb\x8b\xa4'",b'loan loans loaning loaned'
445,b'loss',"b'n. \xec\x86\x90\xec\x8b\xa4, \xec\x86\x90\xed\x95\xb4'",b'los loss lossing lossed'
446,b'profit',"b'n. \xec\x9d\xb4\xec\x9d\xb5, \xec\x88\x98\xec\x9d\xb5, \xec\x9d\xb4\xec\x9c\xa4'",b'profit profits profiting profited'
447,b'profitable',b'adj. \xec\x88\x98\xec\x9d\xb5\xec\x84\xb1\xec\x9d\xb4 \xec\x9e\x88\xeb\x8a\x94',b'profitable profitables profitabling profitabled'
448,b'profitability',b'n. \xec\x88\x98\xec\x9d\xb5\xec\x84\xb1',b'profitability profitabilities profitabilitying profitabilitied'
449,b'record',b'adj. \xea\xb8\xb0\xeb\xa1\x9d\xec\xa0\x81\xec\x9d\xb8 n. \xea\xb8\xb0\xeb\xa1\x9d',b'record records recording recorded'
450,b'reimburse',"b'v. \xeb\xb0\xb0\xec\x83\x81\xed\x95\x98\xeb\x8b\xa4, \xeb\xb3\x80\xec\xa0\x9c\xed\x95\x98\xeb\x8b\xa4'",b'reimburse reimburses reimbursing reimbursed'
