,word,meaning,der
451,b'release',"b'v. \xea\xb3\xb5\xea\xb0\x9c\xed\x95\x98\xeb\x8b\xa4, \xeb\xb0\x9c\xed\x91\x9c\xed\x95\x98\xeb\x8b\xa4'",b'release releases releasing released'
452,b'revenue',"b'n. \xec\x88\x98\xec\x9d\xb5, \xec\x84\xb8\xec\x9e\x85'",b'revenue revenues revenueing revenueed'
453,b'shareholder',b'n. \xec\xa3\xbc\xec\xa3\xbc',b'shareholder shareholders shareholderring shareholderred'
454,b'surplus',b'n. \xea\xb3\xbc\xec\x9e\x89; \xed\x9d\x91\xec\x9e\x90',b'surplu surplus surpluing surplued'
455,b'Department',b'n. \xec\xb4\x9d\xeb\xac\xb4\xeb\xb6\x80',b'department departments departmenting departmented'
456,b'amenities',"b'n. \xed\x8e\xb8\xec\x9d\x98\xec\x8b\x9c\xec\x84\xa4, \xeb\xac\xb8\xed\x99\x94\xec\x8b\x9c\xec\x84\xa4'",b'amenity amenities amenitying amenitied'
457,b'appliance',b'n. (\xea\xb0\x80\xec\xa0\x95\xec\x9a\xa9) \xea\xb8\xb0\xea\xb8\xb0',b'appliance appliances appliancing applianced'
458,b'artificial',b'adj. \xec\x9d\xb8\xea\xb3\xb5\xec\x9d\x98; \xec\x9d\xb8\xec\x9c\x84\xec\xa0\x81\xec\x9d\xb8',b'artificial artificials artificialing artificialed'
459,b'close',"b'adj. \xea\xb0\x80\xea\xb9\x8c\xec\x9a\xb4, \xea\xb7\xbc\xec\xa0\x91\xed\x95\x9c'",b'close closes closing closed'
460,b'commercial',b'adj. \xec\x83\x81\xec\x97\x85\xec\x9d\x98; \xeb\xaf\xbc\xec\x98\x81\xec\x9d\x98',b'commercial commercials commercialing commercialed'
461,b'compartment',"b'n. \xea\xb5\xac\xed\x9a\x8d, \xec\xb9\xb8'",b'compartment compartments compartmenting compartmented'
462,b'floor',b'n. \xec\xb8\xb5; \xeb\xb0\x94\xeb\x8b\xa5',b'floor floors flooring floored'
463,b'furnished',b'adj. \xea\xb0\x80\xea\xb5\xac\xea\xb0\x80 \xeb\xb9\x84\xec\xb9\x98\xeb\x90\x9c',b'furnish furnishes furnishing furnished'
464,b'furnish',b'v. (\xea\xb0\x80\xea\xb5\xac\xeb\xa5\xbc) \xeb\xb9\x84\xec\xb9\x98\xed\x95\x98\xeb\x8b\xa4',b'furnish furnishes furnishing furnished'
465,b'landlord',"b'n. \xec\xa3\xbc\xec\x9d\xb8, \xec\x9e\x84\xeb\x8c\x80\xec\xa3\xbc, \xec\x9e\x84\xeb\x8c\x80 \xed\x9a\x8c\xec\x82\xac'",b'landlord landlords landlording landlorded'
466,b'lease',b'n. \xec\x9e\x84\xeb\x8c\x80\xec\xb0\xa8 \xea\xb3\x84\xec\x95\xbd v. \xec\x9e\x84\xeb\x8c\x80[\xec\x9e\x84\xec\xb0\xa8]\xed\x95\x98\xeb\x8b\xa4',b'lease leases leasing leased'
467,b'locate',b'v. ~\xec\x9d\x98 \xec\xa0\x95\xed\x99\x95\xed\x95\x9c \xec\x9c\x84\xec\xb9\x98\xeb\xa5\xbc \xec\xb0\xbe\xec\x95\x84\xeb\x82\xb4\xeb\x8b\xa4',b'locate locates locating located'
468,b'modern',"b'adj. \xed\x98\x84\xeb\x8c\x80\xec\x9d\x98, \xed\x98\x84\xeb\x8c\x80\xec\xa0\x81\xec\x9d\xb8'",b'modern moderns moderning moderned'
469,b'multipurpose',b'adj. \xeb\x8b\xa4\xeb\xaa\xa9\xec\xa0\x81\xec\x9d\x98',b'multipurpose multipurposes multipurposing multipurposed'
470,b'occupy',"b'v. \xec\xb0\xa8\xec\xa7\x80\xed\x95\x98\xeb\x8b\xa4, \xea\xb1\xb4\xeb\xac\xbc\xec\x9d\x84 \xec\x82\xac\xec\x9a\xa9\xed\x95\x98\xeb\x8b\xa4'",b'occupy occupies occupying occupied'
471,b'overlook',b'v. \xeb\x82\xb4\xeb\xa0\xa4\xeb\x8b\xa4\xeb\xb3\xb4\xeb\x8b\xa4',b'overlook overlooks overlooking overlooked'
472,b'ownership',b'n. \xec\x86\x8c\xec\x9c\xa0(\xea\xb6\x8c)',b'ownership ownerships ownershipping ownershipped'
473,b'property',"b'n. \xeb\xb6\x80\xeb\x8f\x99\xec\x82\xb0, \xec\x9e\xac\xec\x82\xb0'",b'property properties propertying propertied'
474,b'reconstruct',b'v. \xec\x9e\xac\xea\xb1\xb4\xed\x95\x98\xeb\x8b\xa4',b'reconstruct reconstructs reconstructing reconstructed'
475,b'renew',b'v. \xea\xb0\xb1\xec\x8b\xa0\xed\x95\x98\xeb\x8b\xa4',b'renew renews renewing renewed'
476,b'renovate',b'v. \xea\xb0\x9c\xec\xa1\xb0\xed\x95\x98\xeb\x8b\xa4',b'renovate renovates renovating renovated'
477,b'renovation',b'n. \xea\xb0\x9c\xec\xa1\xb0',b'renovation renovations renovationing renovationed'
478,b'rent',"b'v. \xec\x84\xb8\xeb\x82\xb4\xeb\x8b\xa4[\xec\x9e\x84\xec\xb0\xa8\xed\x95\x98\xeb\x8b\xa4] n. \xec\xa7\x91\xec\x84\xb8, \xeb\xb0\xa9\xec\x84\xb8, \xec\xa7\x80\xeb\x8c\x80, \xec\x9e\x84\xec\xb0\xa8\xeb\xa3\x8c'",b'rent rents renting rented'
479,b'residence',"b'n. \xec\xa3\xbc\xed\x83\x9d, \xea\xb1\xb0\xec\xa3\xbc\xec\xa7\x80'",b'residence residences residencing residenced'
480,b'resident',b'n. \xea\xb1\xb0\xec\xa3\xbc\xec\x9e\x90',b'resident residents residenting residented'
481,b'residential',b'adj. \xec\xa3\xbc\xea\xb1\xb0\xec\x9d\x98; \xea\xb1\xb0\xec\xa3\xbc\xed\x95\x98\xea\xb8\xb0 \xec\xa2\x8b\xec\x9d\x80',b'residential residentials residentialing residentialed'
482,b'tenant',"b'n. \xec\x84\xb8\xec\x9e\x85\xec\x9e\x90, \xec\x9e\x84\xec\xb0\xa8\xec\x9d\xb8'",b'tenant tenants tenanting tenanted'
483,b'tour',"b'n. \xeb\xb0\xa9\xeb\xac\xb8, \xea\xb2\xac\xed\x95\x99'",b'tour tours touring toured'
484,b'transform',b'v. \xec\x99\x84\xec\xa0\x84\xed\x9e\x88 \xeb\xb0\x94\xea\xbf\x94 \xeb\x86\x93\xeb\x8b\xa4; \xeb\xb3\x80\xed\x98\x95\xec\x8b\x9c\xed\x82\xa4\xeb\x8b\xa4',b'transform transforms transforming transformed'
485,b'unit',b'n. \xed\x95\x9c \xea\xb0\x80\xea\xb5\xac',b'unit units unitting unitted'
486,b'view',b'n. \xea\xb2\xbd\xea\xb4\x80',b'view views viewing viewed'
487,b'architecture',"b'n. \xea\xb1\xb4\xec\xb6\x95\xec\x88\xa0, \xea\xb1\xb4\xec\xb6\x95 \xec\x96\x91\xec\x8b\x9d'",b'architecture architectures architecturing architectured'
488,b'architectural',b'adj. \xea\xb1\xb4\xec\xb6\x95\xec\x9d\x98',b'architectural architecturals architecturalling architecturalled'
489,b'blueprint',b'n. \xec\xb2\xad\xec\x82\xac\xec\xa7\x84',b'blueprint blueprints blueprinting blueprinted'
490,b'characterize',b'v. ~\xec\x9d\x98 \xed\x8a\xb9\xec\xa7\x95\xec\x9d\xb4 \xeb\x90\x98\xeb\x8b\xa4',b'characterize characterizes characterizing characterized'
491,b'construction',"b'n. \xea\xb1\xb4\xec\x84\xa4, \xea\xb3\xb5\xec\x82\xac'",b'construction constructions constructioning constructioned'
492,b'construct',b'v. \xea\xb1\xb4\xec\x84\xa4\xed\x95\x98\xeb\x8b\xa4',b'construct constructs constructing constructed'
493,b'draw',"b'v. \xeb\x81\x8c\xeb\x8b\xa4, \xeb\x81\x8c\xec\x96\xb4\xeb\x93\xa4\xec\x9d\xb4\xeb\x8b\xa4'",b'draw draws drawing drew drawn'
494,b'elaborate',b'adj. \xec\xa0\x95\xea\xb5\x90\xed\x95\x9c; \xea\xb3\xb5\xec\x9d\x84 \xeb\x93\xa4\xec\x9d\xb8',b'elaborate elaborates elaborating elaborated'
495,b'entrance',b'n. \xec\x9e\x85\xea\xb5\xac',b'entrance entrances entrancing entranced'
496,b'extend',b'v. \xec\x97\xb0\xec\x9e\xa5\xed\x95\x98\xeb\x8b\xa4; \xed\x99\x95\xec\x9e\xa5\xed\x95\x98\xeb\x8b\xa4',b'extend extends extending extended'
497,b'exterior',b'adj. \xec\x99\xb8\xeb\xb6\x80\xec\x9d\x98',b'exterior exteriors exterioring exteriored'
498,b'fa?ade',"b'n. (\xea\xb1\xb4\xeb\xac\xbc\xec\x9d\x98) \xec\xa0\x95\xeb\xa9\xb4, \xec\x95\x9e\xeb\xa9\xb4'",b'fa?ade fa?ades fa?ading fa?aded'
499,b'groundbreaking',b'adj. \xed\x9a\x8d\xea\xb8\xb0\xec\xa0\x81\xec\x9d\xb8',b'groundbreak groundbreaks groundbreaking groundbreaked'
500,b'interior',b'adj. \xeb\x82\xb4\xeb\xb6\x80\xec\x9d\x98',b'interior interiors interioring interiored'
501,b'landmark',"b'n. \xec\xa3\xbc\xec\x9a\x94 \xec\xa7\x80\xed\x98\x95\xeb\xac\xbc, \xeb\x9e\x9c\xeb\x93\x9c\xeb\xa7\x88\xed\x81\xac'",b'landmark landmarks landmarking landmarked'
502,b'lot',"b'n. \xeb\xb6\x80\xec\xa7\x80, \xea\xb5\xac\xed\x9a\x8d'",b'lot lots lotting lotted'
503,b'masterpiece',"b'n. \xea\xb1\xb8\xec\x9e\x91, \xeb\xaa\x85\xec\x9e\x91'",b'masterpiece masterpieces masterpiecing masterpieced'
504,b'modernize',b'v. \xed\x98\x84\xeb\x8c\x80\xed\x99\x94\xed\x95\x98\xeb\x8b\xa4',b'modernize modernizes modernizing modernized'
505,b'premises',b'n. \xeb\xb6\x80\xec\xa7\x80',b'premise premises premising premised'
506,b'preserve',b'v. \xec\xa7\x80\xed\x82\xa4\xeb\x8b\xa4; \xeb\xb3\xb4\xec\xa1\xb4\xed\x95\x98\xeb\x8b\xa4',b'preserve preserves preserving preserved'
507,b'redesign',b'v. \xec\x9e\xac\xec\x84\xa4\xea\xb3\x84\xed\x95\x98\xeb\x8b\xa4',b'redesign redesigns redesigning redesigned'
508,b'reinforce',b'v. \xea\xb0\x95\xed\x99\x94\xed\x95\x98\xeb\x8b\xa4; \xeb\xb3\xb4\xea\xb0\x95\xed\x95\x98\xeb\x8b\xa4',b'reinforce reinforces reinforcing reinforced'
509,b'remodel',"b'v. \xea\xb0\x9c\xec\xa1\xb0\xed\x95\x98\xeb\x8b\xa4, \xeb\xa6\xac\xeb\xaa\xa8\xeb\x8d\xb8\xeb\xa7\x81\xed\x95\x98\xeb\x8b\xa4'",b'remodel remodels remodeling remodeled'
510,b'repairs',b'n. \xec\x88\x98\xeb\xa6\xac \xec\x9e\x91\xec\x97\x85',b'repair repairs repairing repaired'
511,b'restoration',"b'n. \xeb\xb3\xb5\xea\xb5\xac, \xeb\xb3\xb5\xec\x9b\x90'",b'restoration restorations restorationing restorationed'
512,b'restore',b'v. \xeb\xb3\xb5\xec\x9b\x90\xed\x95\x98\xeb\x8b\xa4',b'restore restores restoring restored'
513,b'structure',b'n. \xea\xb5\xac\xec\xa1\xb0\xeb\xac\xbc',b'structure structures structuring structured'
514,b'undergo',"b'n. \xea\xb2\xaa\xeb\x8b\xa4, \xeb\xb0\x9b\xeb\x8b\xa4'",b'undergo undergoes undergoing underwent undergone'
515,b'venue',b'n. \xec\x9e\xa5\xec\x86\x8c',b'venue venues venueing venueed'
516,b'wing',"b'n. \xea\xb1\xb4\xeb\xac\xbc\xec\x9d\x98 \xeb\x8f\x99, \xeb\xb6\x80\xec\x86\x8d \xea\xb1\xb4\xeb\xac\xbc'",b'wing wings winging winged'
517,b'accessible',b'adj. \xec\xa0\x91\xea\xb7\xbc\xed\x95\xa0 \xec\x88\x98 \xec\x9e\x88\xeb\x8a\x94',b'accessible accessibles accessibling accessibled'
518,b'alleviate',b'v. \xec\x99\x84\xed\x99\x94\xed\x95\x98\xeb\x8b\xa4',b'alleviate alleviates alleviating alleviated'
519,b'boulevard',b'n. \xeb\x8c\x80\xeb\xa1\x9c',b'boulevard boulevards boulevarding boulevarded'
520,b'commute',b'v. \xed\x86\xb5\xea\xb7\xbc\xed\x95\x98\xeb\x8b\xa4 n. \xed\x86\xb5\xea\xb7\xbc',b'commute commutes commuting commuted'
521,b'congestion',b'n. \xed\x98\xbc\xec\x9e\xa1',b'congestion congestions congestioning congestioned'
522,b'crosswalk',b'n. \xed\x9a\xa1\xeb\x8b\xa8\xeb\xb3\xb4\xeb\x8f\x84',b'crosswalk crosswalks crosswalking crosswalked'
523,b'destination',"b'n. \xed\x96\x89\xec\x84\xa0\xec\xa7\x80, \xeb\xaa\xa9\xec\xa0\x81\xec\xa7\x80'",b'destination destinations destinationing destinationed'
524,b'detour',"b'n. \xec\x9a\xb0\xed\x9a\x8c\xeb\xa1\x9c, \xeb\x8f\x8c\xec\x95\x84\xea\xb0\x80\xeb\x8a\x94 \xea\xb8\xb8'",b'detour detours detouring detoured'
525,b'expressway',b'n. \xea\xb3\xa0\xec\x86\x8d\xeb\x8f\x84\xeb\xa1\x9c (= freeway)',b'expressway expressways expresswaying expresswayed'
526,b'impose',"b'v. \xeb\x8f\x84\xec\x9e\x85\xed\x95\x98\xeb\x8b\xa4, \xeb\xb6\x80\xea\xb3\xbc\xed\x95\x98\xeb\x8b\xa4'",b'impose imposes imposing imposed'
527,b'jammed',"b'adj. \xea\xbc\xbc\xec\xa7\x9d \xeb\xaa\xbb\xed\x95\x98\xeb\x8a\x94, \xeb\xb9\xbd\xeb\xb9\xbd\xed\x95\x9c'",b'jam jams jamming jammed'
528,b'jaywalk',b'v. \xeb\xac\xb4\xeb\x8b\xa8 \xed\x9a\xa1\xeb\x8b\xa8\xed\x95\x98\xeb\x8b\xa4',b'jaywalk jaywalks jaywalking jaywalked'
529,b'lane',b'n. \xec\xb0\xa8\xec\x84\xa0',b'lane lanes laning laned'
530,b'mileage',b'n. \xec\xa3\xbc\xed\x96\x89\xea\xb1\xb0\xeb\xa6\xac',b'mileage mileages mileaging mileaged'
531,b'overpass',b'n. \xea\xb3\xa0\xea\xb0\x80\xeb\x8f\x84\xeb\xa1\x9c (= flyover)',b'overpass overpasses overpassing overpassed'
532,b'pave',b'v. \xeb\x8f\x84\xeb\xa1\x9c\xeb\xa5\xbc \xed\x8f\xac\xec\x9e\xa5\xed\x95\x98\xeb\x8b\xa4',b'pave paves paving paved'
533,b'pavement',"b'n. \xec\x9d\xb8\xeb\x8f\x84, \xeb\xb3\xb4\xeb\x8f\x84'",b'pavement pavements pavementing pavemented'
534,b'pedestrian',b'n. \xeb\xb3\xb4\xed\x96\x89\xec\x9e\x90',b'pedestrian pedestrians pedestrianing pedestrianed'
535,b'repave',b'v. \xeb\x8f\x84\xeb\xa1\x9c\xeb\xa5\xbc \xec\x9e\xac\xed\x8f\xac\xec\x9e\xa5\xed\x95\x98\xeb\x8b\xa4',b'repave repaves repaving repaved'
536,b'section',b'n. \xea\xb5\xac\xea\xb0\x84',b'section sections sectioning sectioned'
537,b'toll',"b'n. \xed\x86\xb5\xed\x96\x89\xeb\xa3\x8c, \xec\x82\xac\xec\x9a\xa9\xec\x84\xb8'",b'toll tolls tolling tolled'
538,b'tow',"b'v. \xea\xb2\xac\xec\x9d\xb8\xed\x95\x98\xeb\x8b\xa4, \xec\x98\x88\xec\x9d\xb8\xed\x95\x98\xeb\x8b\xa4'",b'tow tows towing towed'
539,b'transportation',"b'n. \xec\x88\x98\xec\x86\xa1, \xec\x9a\xb4\xec\x86\xa1'",b'transportation transportations transportationing transportationed'
540,b'vehicle',"b'n. \xec\xb0\xa8\xeb\x9f\x89, \xed\x83\x88\xea\xb2\x83'",b'vehicle vehicles vehicling vehicled'
541,b'widen',b'v. \xeb\x84\x93\xed\x9e\x88\xeb\x8b\xa4',b'widen widens widening widened'
542,b'widening',b'n. \xed\x99\x95\xec\x9e\xa5',b'widen widens widening widened'
543,b'accommodate',b'v. \xec\x88\x98\xec\x9a\xa9\xed\x95\x98\xeb\x8b\xa4',b'accommodate accommodates accommodating accommodated'
544,b'artistic',b'adj. \xec\x98\x88\xec\x88\xa0\xec\xa0\x81\xec\x9d\xb8',b'artistic artistices artisticking artisticked'
545,b'auction',b'n. \xea\xb2\xbd\xeb\xa7\xa4',b'auction auctions auctioning auctioned'
546,b'audience',"b'n. \xea\xb4\x80\xea\xb0\x9d, \xec\xb2\xad\xec\xa4\x91'",b'audience audiences audiencing audienced'
547,b'autograph',"b'n. \xec\x84\x9c\xeb\xaa\x85, \xec\x82\xac\xec\x9d\xb8 v. \xec\x84\x9c\xeb\xaa\x85\xed\x95\x98\xeb\x8b\xa4'",b'autograph autographs autographing autographed'
548,b'cast',"b'n. \xec\xb6\x9c\xec\x97\xb0\xec\x9e\x90\xeb\x93\xa4, \xeb\xb0\xb0\xec\x97\xad v. \xeb\xb0\xb0\xec\x97\xad\xec\x9d\x84 \xec\xa0\x95\xed\x95\x98\xeb\x8b\xa4'",b'cast casts casting'
549,b'choreography',b'n. \xec\x95\x88\xeb\xac\xb4',b'choreography choreographies choreographying choreographied'
550,b'community',b'n. \xec\xa7\x80\xec\x97\xad\xec\x82\xac\xed\x9a\x8c',b'community communities communitying communitied'
551,b'compose',b'v. \xec\x9e\x91\xea\xb3\xa1\xed\x95\x98\xeb\x8b\xa4',b'compose composes composing composed'
552,b'conduct',b'v. \xec\xa7\x80\xed\x9c\x98\xed\x95\x98\xeb\x8b\xa4',b'conduct conducts conducting conducted'
553,b'costume',"b'n. \xec\x9d\x98\xec\x83\x81, \xeb\xb3\xb5\xec\x9e\xa5'",b'costume costumes costuming costumed'
554,b'critic',b'n. \xed\x8f\x89\xeb\xa1\xa0\xea\xb0\x80',b'critic critices criticking criticked'
555,b'debut',"b'n. \xeb\x8d\xb0\xeb\xb7\x94, \xec\xb2\xab \xec\xb6\x9c\xec\x97\xb0 v. \xeb\x8d\xb0\xeb\xb7\x94[\xec\xb2\xab \xec\xb6\x9c\xec\x97\xb0]\xed\x95\x98\xeb\x8b\xa4'",b'debut debuts debuting debuted'
556,b'direction',b'n. \xec\x97\xb0\xec\xb6\x9c',b'direction directions directioning directioned'
557,b'entertain',b'v. \xec\xa6\x90\xea\xb2\x81\xea\xb2\x8c \xed\x95\xb4\xec\xa3\xbc\xeb\x8b\xa4',b'entertain entertains entertaining entertained'
558,b'exhibition',b'n. \xec\xa0\x84\xec\x8b\x9c(\xed\x9a\x8c)',b'exhibition exhibitions exhibitioning exhibitioned'
559,b'exhibit',b'v. \xec\xa0\x84\xec\x8b\x9c\xed\x95\x98\xeb\x8b\xa4',b'exhibit exhibits exhibiting exhibited'
560,b'impeccable',b'adj. \xed\x9d\xa0 \xec\x9e\xa1\xec\x9d\x84 \xeb\x8d\xb0 \xec\x97\x86\xeb\x8a\x94',b'impeccable impeccables impeccabling impeccabled'
561,b'intermission',b'n. \xec\xa4\x91\xea\xb0\x84 \xed\x9c\xb4\xec\x8b\x9d\xec\x8b\x9c\xea\xb0\x84',b'intermission intermissions intermissioning intermissioned'
562,b'performance',b'n. \xea\xb3\xb5\xec\x97\xb0',b'performance performances performancing performanced'
563,b'perform',"b'v. \xea\xb3\xb5\xec\x97\xb0\xed\x95\x98\xeb\x8b\xa4, \xec\x97\xb0\xec\xa3\xbc\xed\x95\x98\xeb\x8b\xa4'",b'perform performs performing performed'
564,b'premiere',b'n. (\xec\x98\x81\xed\x99\x94\xec\x9d\x98) \xea\xb0\x9c\xeb\xb4\x89; (\xec\x97\xb0\xea\xb7\xb9\xec\x9d\x98) \xec\xb4\x88\xec\x97\xb0',b'premiere premieres premiering premiered'
565,b'sponsor',b'v. \xed\x9b\x84\xec\x9b\x90\xed\x95\x98\xeb\x8b\xa4 n. \xed\x9b\x84\xec\x9b\x90\xec\x9e\x90',b'sponsor sponsors sponsoring sponsored'
566,b'star',"b'v. \xec\xa3\xbc\xec\x97\xb0\xec\x9d\x84 \xeb\xa7\xa1\xeb\x8b\xa4 n. \xec\x8a\xa4\xed\x83\x80, \xec\x9d\xb8\xea\xb8\xb0 \xeb\xb0\xb0\xec\x9a\xb0'",b'star stars starring starred'
567,b'theatrical',b'adj. \xec\x97\xb0\xea\xb7\xb9[\xea\xb3\xb5\xec\x97\xb0]\xec\x9d\x98',b'theatrical theatricals theatricalling theatricalled'
568,b'aid',"b'n. \xec\x9b\x90\xec\xa1\xb0, \xec\x9e\x90\xec\x9b\x90 v. \xeb\x8f\x95\xeb\x8b\xa4'",b'aid aids aiding aided'
569,b'beneficial',"b'adj. \xec\x9c\xa0\xec\x9d\xb5\xed\x95\x9c, \xec\x9d\xb4\xeb\xa1\x9c\xec\x9a\xb4'",b'beneficial beneficials beneficialing beneficialed'
570,b'campaign',b'n. \xec\xba\xa0\xed\x8e\x98\xec\x9d\xb8 v. \xec\xba\xa0\xed\x8e\x98\xec\x9d\xb8\xec\x9d\x84 \xeb\xb2\x8c\xec\x9d\xb4\xeb\x8b\xa4',b'campaign campaigns campaigning campaigned'
571,b'charity',b'n. \xec\x9e\x90\xec\x84\xa0 \xeb\x8b\xa8\xec\xb2\xb4',b'charity charities charitying charitied'
572,b'charitable',b'adj. \xec\x9e\x90\xec\x84\xa0\xec\x9d\x98',b'charitable charitables charitabling charitabled'
573,b'collect',b'v. \xeb\xaa\xa8\xec\x9c\xbc\xeb\x8b\xa4',b'collect collects collecting collected'
574,b'committee',b'n. \xec\x9c\x84\xec\x9b\x90\xed\x9a\x8c',b'committee committees committeeing committeeed'
575,b'contributor',b'n. \xed\x9b\x84\xec\x9b\x90\xec\x9e\x90',b'contributor contributors contributorring contributorred'
576,b'contribution',b'n. \xea\xb8\xb0\xeb\xb6\x80\xea\xb8\x88',b'contribution contributions contributioning contributioned'
577,b'contribute',"b'v. \xea\xb8\xb0\xeb\xb6\x80\xed\x95\x98\xeb\x8b\xa4, \xea\xb8\xb0\xec\x97\xac\xed\x95\x98\xeb\x8b\xa4'",b'contribute contributes contributing contributed'
578,b'dedicate',"b'v. \xeb\xb0\x94\xec\xb9\x98\xeb\x8b\xa4, \xec\xa0\x84\xeb\x85\x90\xed\x95\x98\xeb\x8b\xa4'",b'dedicate dedicates dedicating dedicated'
579,b'donation',b'n. \xea\xb8\xb0\xeb\xb6\x80(\xea\xb8\x88)',b'donation donations donationing donationed'
580,b'donate',b'v. \xea\xb8\xb0\xeb\xb6\x80\xed\x95\x98\xeb\x8b\xa4',b'donate donates donating donated'
581,b'enlightening',"b'adj. \xea\xb3\x84\xeb\xaa\xbd\xec\xa0\x81\xec\x9d\xb8, \xea\xb9\xa8\xec\x9a\xb0\xec\xb9\x98\xeb\x8a\x94'",b'enlighten enlightens enlightening enlightened'
582,b'entry',b'n. \xec\x9e\x85\xec\x9e\xa5',b'entry entries entrying entried'
583,b'finance',b'n. \xec\x9e\x90\xea\xb8\x88 v. \xec\x9e\x90\xea\xb8\x88\xec\x9d\x84 \xeb\x8c\x80\xeb\x8b\xa4',b'finance finances financing financed'
584,b'foundation',b'n. \xec\x84\xa4\xeb\xa6\xbd; \xec\x9e\xac\xeb\x8b\xa8',b'foundation foundations foundationing foundationed'
585,b'fund',b'v. \xec\x9e\x90\xea\xb8\x88\xec\x9d\x84 \xeb\x8c\x80\xeb\x8b\xa4',b'fund funds funding funded'
586,b'funding',b'n. \xec\x9e\xac\xec\xa0\x95 \xec\xa7\x80\xec\x9b\x90',b'fund funds funding funded'
587,b'fundraising',b'n. \xea\xb8\xb0\xea\xb8\x88 \xeb\xaa\xa8\xea\xb8\x88',b'fundrais fundraiss fundraising fundraised'
588,b'generous',"b'adj. \xed\x9b\x84\xed\x95\x9c, \xeb\x84\x89\xeb\x84\x89\xed\x95\x9c'",b'generou generous generouing generoued'
589,b'generosity',b'n. \xeb\x84\x88\xea\xb7\xb8\xeb\x9f\xac\xec\x9b\x80',b'generosity generosities generositying generositied'
590,b'invite',b'v. \xec\xb4\x88\xeb\x8c\x80\xed\x95\x98\xeb\x8b\xa4',b'invite invites inviting invited'
591,b'local',b'adj. \xec\xa7\x80\xec\x97\xad\xec\x9d\x98 n. \xed\x98\x84\xec\xa7\x80\xec\x9d\xb8',b'local locals localling localled'
592,b'municipal',"b'adj. \xec\xa7\x80\xeb\xb0\xa9 \xec\x9e\x90\xec\xb9\x98\xec\xa0\x9c\xec\x9d\x98, \xec\x8b\x9c\xec\x9d\x98'",b'municipal municipals municipalling municipalled'
593,b'patron',"b'n. \xed\x9b\x84\xec\x9b\x90\xec\x9e\x90, \xea\xb3\xa0\xea\xb0\x9d'",b'patron patrons patronning patronned'
594,b'philanthropic',"b'adj. \xec\x9e\x90\xec\x84\xa0\xec\x9d\x98, \xec\x9d\xb8\xec\xa0\x95 \xeb\xa7\x8e\xec\x9d\x80'",b'philanthropic philanthropices philanthropicking philanthropicked'
595,b'pledge',"b'n. \xeb\xa7\xb9\xec\x84\xb8, \xec\x84\x9c\xec\x95\xbd v. \xeb\xa7\xb9\xec\x84\xb8[\xec\x84\x9c\xec\x95\xbd]\xed\x95\x98\xeb\x8b\xa4'",b'pledge pledges pledging pledged'
596,b'proceeds',b'n. \xec\x88\x98\xec\x9d\xb5\xea\xb8\x88',b'proceed proceeds proceeding proceeded'
597,b'public',"b'adj. \xea\xb3\xb5\xea\xb3\xb5\xec\x9d\x98 n. \xeb\x8c\x80\xec\xa4\x91, \xec\x9d\xbc\xeb\xb0\x98'",b'public publices publicking publicked'
598,b'revitalize',b'v. \xec\x9e\xac\xed\x99\x9c\xec\x84\xb1\xed\x99\x94\xec\x8b\x9c\xed\x82\xa4\xeb\x8b\xa4',b'revitalize revitalizes revitalizing revitalized'
599,b'sponsorship',"b'n. \xed\x9b\x84\xec\x9b\x90, \xed\x98\x91\xec\xb0\xac'",b'sponsorship sponsorships sponsorshipping sponsorshipped'
600,b'unprecedented',b'adj. \xec\xa0\x84\xeb\xa1\x80\xea\xb0\x80 \xec\x97\x86\xeb\x8a\x94',b'unprecedent unprecedents unprecedenting unprecedented'
601,b'volunteer',b'n. \xec\x9e\x90\xec\x9b\x90\xeb\xb4\x89\xec\x82\xac\xec\x9e\x90 v. \xec\x9e\x90\xec\x9b\x90\xed\x95\x98\xeb\x8b\xa4',b'volunteer volunteers volunteering volunteered'
